TE_18 w,TE_18 D,TE_22 w,TE_22 D,TM_18 w,TM_18 D,TM_22 w,TM_22 D
1206643350740294.8,3.384207390029324e-05,1123398786947697.4,1.1759483870967727e-05,1280422423472570.2,8.62075458064516e-05,1283684403750297.5,7.995285161290321e-05
1217104490980917.8,3.342507917888562e-05,1132458804516385.8,1.173228856304985e-05,1292406310210390.2,8.838135741935482e-05,1295139949943968.8,8.144997849462365e-05
1227750780741983.8,3.2663610557184735e-05,1144204283333574.8,1.1514726099706735e-05,1305170489056138.0,9.018067956989247e-05,1308542286980444.8,8.252469677419354e-05
1238585023345526.8,3.189307683284456e-05,1153605762300298.8,1.1242773020527848e-05,1317406059007173.0,9.146590967741935e-05,1321975541228262.8,8.331134623655913e-05
1249612121797691.2,3.1131608211143684e-05,1163163377377853.2,1.0907364222873894e-05,1330447675463231.5,9.251708387096773e-05,1335687462854851.0,8.409799569892474e-05
1260838961911494.5,3.0125381818181805e-05,1172880423873832.2,1.0617280938416399e-05,1342580585103310.0,9.377046021505376e-05,1349690026552297.2,8.446362150537633e-05
1272271142948468.0,2.8856267448680342e-05,1182762518109519.8,1.010057008797652e-05,1356729241205139.8,9.408068817204301e-05,1364597547226206.5,8.409107096774193e-05
1283912534892990.2,2.7587153079178875e-05,1192813306657863.0,9.456947800586505e-06,1372398873371186.0,9.422472258064516e-05,1379221834694186.2,8.374206451612902e-05
1295768933672466.0,2.631803870967741e-05,1203036266937220.2,8.83145571847507e-06,1387187681486073.5,9.43814193548387e-05,1392816119411296.2,8.338415483870966e-05
1307849403839029.5,2.4622864516129026e-05,1213436308434744.0,8.151573020527834e-06,1399198365786961.2,9.39588129032258e-05,1405661653935587.8,8.221446881720429e-05
1320158570074964.5,2.2746388269794705e-05,1224019551512097.2,7.181607038123146e-06,1413540972642571.0,9.290348387096772e-05,1420631639030771.2,8.067579354838709e-05
1332701302421052.8,2.0915237536656887e-05,1234789258445165.0,6.175380645161283e-06,1427373910491852.8,9.187585376344086e-05,1434700112143096.5,7.927838279569892e-05
1345485755935176.8,1.893904516129031e-05,1245750400923150.8,5.132893841642215e-06,1442042071098436.0,9.072357849462364e-05,1451191888843885.2,7.728406021505376e-05
1357326368676613.2,1.6667733333333316e-05,1256908548874977.2,3.990690909090886e-06,1456562628259644.2,8.892163753665689e-05,1463587093384937.2,7.505706666666665e-05
1368162742462723.0,1.4595853763440843e-05,1268270344195750.2,2.5584046920821067e-06,1472977700422408.5,8.613774451612901e-05,1476196170197197.8,7.279683440860213e-05
1379173888760427.2,1.2479655913978476e-05,1279839049437883.0,1.1805090909090835e-06,1488184221022025.0,8.37744722580645e-05,1488409221771470.2,7.056350967741935e-05
1390363531828751.5,1.0385617204301056e-05,1293787789532650.2,-6.717935483871145e-07,1502683513704014.8,8.146105806451612e-05,1501347423826255.8,6.828855741935482e-05
1400465979002965.8,8.2124387096774e-06,1304727496189802.8,-2.2732950146627785e-06,1514495149460940.0,7.886289892473118e-05,1513138364742396.8,6.565051182795697e-05
1409429015149119.5,6.047174193548386e-06,1316978745769180.5,-4.294812903225818e-06,1523479001050862.2,7.665252473118278e-05,1521357152778412.5,6.33725522580645e-05
1418507277713412.8,3.910399999999981e-06,1329462252021204.8,-6.316330791788871e-06,1532569907978434.8,7.44587698924731e-05,1529664331930843.8,6.123530322580645e-05
1428364198374616.5,1.6756903225806353e-06,1342184956371676.5,-8.374109090909115e-06,1541769960757175.2,7.226501505376343e-05,1538831736797025.0,5.8808877419354834e-05
1438362231501604.0,-9.244077419354966e-07,1353967189726792.5,-1.0632326881720459e-05,1551081750961392.8,7.001032258064515e-05,1548107517313161.2,5.659850322580644e-05
1446458452488388.8,-2.5996387096774355e-06,1364750730862430.2,-1.2826081720430125e-05,1559717502009852.2,6.788636903225806e-05,1556710865789040.0,5.439810064516128e-05
1455337973591570.5,-4.99282580645162e-06,1375707507797300.2,-1.5030916129032277e-05,1567651064984688.5,6.60515922580645e-05,1564615429986304.0,5.240377806451612e-05
1463633420541196.8,-7.386012903225818e-06,1386841639580671.8,-1.723575053763443e-05,1575672316886626.2,6.358528e-05,1572604644959176.2,5.002654554838708e-05
1472023977950712.0,-9.779200000000016e-06,1397525162809114.2,-1.9464129032258086e-05,1582965324702921.2,6.104418064516129e-05,1579059363410118.2,4.770714838709676e-05
1480511290967729.2,-1.21723870967742e-05,1407092512356728.8,-2.180211612903227e-05,1590323939539264.2,5.8712485161290316e-05,1583932545258569.2,4.622802580645159e-05
1489097042901890.8,-1.45655741935484e-05,1416141082642908.2,-2.399587096774195e-05,1597752070720988.5,5.630766451612902e-05,1589658833352252.2,4.42420129032258e-05
1497782956337868.2,-1.6958761290322597e-05,1425306783187673.8,-2.618962580645163e-05,1604414493946971.2,5.406405161290321e-05,1596253171866378.0,4.205656774193548e-05
1505834916591457.2,-1.9192402580645193e-05,1434591903116097.2,-2.8383380645161308e-05,1611973413780002.8,5.1818776774193535e-05,1602901911940386.0,3.992098064516128e-05
1513234235566541.2,-2.162547612903228e-05,1443998916010364.0,-3.0591380645161305e-05,1619606872271247.8,4.9302606451612896e-05,1609607623229045.0,3.7660748387096755e-05
1520707403370809.5,-2.4138322580645164e-05,1452847543474998.8,-3.291334193548388e-05,1627310168793969.8,4.703905032258063e-05,1616370094980104.0,3.5362291612903216e-05
1528254945691896.5,-2.6671112258064538e-05,1461114543105999.0,-3.530652903225808e-05,1635089717682383.0,4.4541161290322575e-05,1623189133828830.8,3.310870709677418e-05
1535112313681774.2,-2.897455483870968e-05,1469476162982564.8,-3.769971612903228e-05,1640150708787787.5,4.22241858064516e-05,1630928625665642.0,3.066566193548387e-05
1542030901947334.0,-3.12181677419355e-05,1477934188978706.0,-4.010952258064518e-05,1646178326401757.8,3.990238279569891e-05,1638744297760293.8,2.804289032258063e-05
1549792333695904.8,-3.3770900645161305e-05,1486489836581972.5,-4.248609032258065e-05,1651486096330917.5,3.747674838709676e-05,1643127587053206.8,2.5808061935483862e-05
1557632088509059.2,-3.630369032258065e-05,1495145272543287.8,-4.4879277419354844e-05,1657837330135765.0,3.492496516129031e-05,1648413906959633.0,2.3537383225806437e-05
1564755880784454.8,-3.857223225806453e-05,1503168633107021.2,-4.709297548387098e-05,1664597606055125.0,3.226064516129031e-05,1654622567842300.5,2.105089032258064e-05
1571307459514697.0,-4.10302348387097e-05,1510540183302357.2,-4.9366503225806465e-05,1671232285051917.5,2.9606296774193535e-05,1659805445247702.8,1.8729166451612896e-05
1577589684986895.8,-4.328381935483872e-05,1517239053773718.5,-5.16599741935484e-05,1677007143981571.0,2.712716387096772e-05,1665199412888895.0,1.649172645161289e-05
1584088084518972.5,-4.5851509677419354e-05,1523997604565348.8,-5.395344516129035e-05,1682514073301911.0,2.485648516129032e-05,1670629430101621.5,1.4179261935483865e-05
1590639977644120.0,-4.8394270967741956e-05,1531577531425696.0,-5.64463483870968e-05,1688797366326762.8,2.2431958709677403e-05,1676094697075026.8,1.1890539354838694e-05
1597246293994240.5,-5.093703225806453e-05,1540000706616875.2,-5.895587096774195e-05,1694381615956210.8,2.020401548387096e-05,1682237339486402.0,9.558606451612902e-06
1603907714496229.2,-5.3479793548387104e-05,,,1700004194413955.8,1.787065806451612e-05,1688550851281110.5,7.00634838709675e-06
1610625202359790.0,-5.604748387096776e-05,,,1707173264879690.2,1.5460376774193534e-05,1694571612635340.2,4.406131612903209e-06
1618247362002809.5,-5.869993290322583e-05,,,1712184611989503.8,1.31602580645161e-05,1700194798786312.0,2.126905806451603e-06
,,,,1720544252218047.8,1.0594229677419335e-05,1706516707499476.0,-2.883612903225838e-07
,,,,1726919948373150.0,8.354890322580629e-06,1713456177522228.5,-2.7316438709677584e-06
,,,,1734121174791030.0,6.138343225806451e-06,1721315597683906.5,-5.2171870967742105e-06
,,,,1741977007964645.2,3.5172335483870823e-06,1728085349962951.0,-7.59652473118281e-06
,,,,1749010029639133.0,1.1041032258064405e-06,1734905753257200.8,-9.75308387096777e-06
,,,,1755831414798080.8,-1.1157677419354854e-06,1742768682470360.2,-1.237181935483872e-05
,,,,1763885111459362.0,-3.6965161290322754e-06,1749708465340949.8,-1.4742847311827959e-05
,,,,1772079751854602.2,-6.197966451612928e-06,1756700873883054.2,-1.6892283870967758e-05
,,,,1778843993857929.2,-8.447277419354847e-06,1764159290257596.8,-1.9579870967741952e-05
,,,,1786485333513579.8,-1.0633909677419381e-05,1772899530862208.2,-2.212500645161293e-05
,,,,1796492912636159.0,-1.3183223741935478e-05,1780081385190483.0,-2.4461212903225826e-05
,,,,1808092064235145.2,-1.5622565161290353e-05,1787319835567699.5,-2.6660903225806464e-05
,,,,1819841551326029.8,-1.803170683870968e-05,1796709783178409.5,-2.922384516129034e-05
,,,,1830656812273405.5,-2.0265348129032275e-05,1808310581145352.2,-3.1578253763440865e-05
,,,,1841600654656385.5,-2.244713703225807e-05,1820062680854070.0,-3.397033290322582e-05
,,,,1852674524964692.5,-2.4517243870967744e-05,1830880578104703.0,-3.620397419354839e-05
,,,,1863883307885795.2,-2.665116903225808e-05,1842926105314893.0,-3.840326881720432e-05
,,,,1875229425117731.2,-2.884492387096776e-05,1854020182729034.8,-4.076598709677421e-05
,,,,,,1864113857969283.2,-4.2492738064516146e-05
,,,,,,1875461909326473.2,-4.462666322580648e-05
